[sound:k8-0801_伊佐木.mp3]	伊佐木 <br> いさき <br> chicken grunt (fish), threeline grunt
chicken grunt (fish), threeline grunt	伊佐木 <br> いさき <br> [sound:k8-0801_伊佐木.mp3]
伊佐木	[sound:k8-0801_伊佐木.mp3] <br> いさき <br> chicken grunt (fish), threeline grunt
[sound:s8-0801_その国には豊かと貧しいの格差がある。.mp3]	<b>(格差)</b> <br> その国には豊かと貧しいの格差がある。<br> そのくににはゆたかとまずしいのかくさがある。 <br> There is a gap between the rich and the poor in that country.			
<b>(格差)</b> <br> その国には豊かと貧しいの格差がある。	[sound:s8-0801_その国には豊かと貧しいの格差がある。.mp3] <br> そのくににはゆたかとまずしいのかくさがある。 <br> There is a gap between the rich and the poor in that country.			
[sound:k8-0802_一佐.mp3]	一佐 <br> いっさ <br> colonel (JSDF)
colonel (JSDF)	一佐 <br> いっさ <br> [sound:k8-0802_一佐.mp3]
一佐	[sound:k8-0802_一佐.mp3] <br> いっさ <br> colonel (JSDF)
[sound:s8-0802_彼女は人種差別に反対です。.mp3]	<b>(差別)</b> <br> 彼女は人種差別に反対です。<br> かのじょはじんしゅさべつにはんたいです。 <br> She is against racial discrimination.			
<b>(差別)</b> <br> 彼女は人種差別に反対です。	[sound:s8-0802_彼女は人種差別に反対です。.mp3] <br> かのじょはじんしゅさべつにはんたいです。 <br> She is against racial discrimination.			
[sound:k8-0803_佐賀県.mp3]	佐賀県 <br> さがけん <br> Saga prefecture (Kyuushuu)
Saga prefecture (Kyuushuu)	佐賀県 <br> さがけん <br> [sound:k8-0803_佐賀県.mp3]
佐賀県	[sound:k8-0803_佐賀県.mp3] <br> さがけん <br> Saga prefecture (Kyuushuu)
[sound:s8-0803_彼らは利益を得たが、その差益は少なかった。.mp3]	<b>(差益)</b> <br> 彼らは利益を得たが、その差益は少なかった。<br> かれらはりえきをえたが、そのさえきはすくなかった。 <br> They made a profit, but the margin was small.			
<b>(差益)</b> <br> 彼らは利益を得たが、その差益は少なかった。	[sound:s8-0803_彼らは利益を得たが、その差益は少なかった。.mp3] <br> かれらはりえきをえたが、そのさえきはすくなかった。 <br> They made a profit, but the margin was small.			
[sound:k8-0804_核.mp3]	核 <br> (on: カク) <br> meaning: nucleus, core, kernel
meaning: nucleus, core, kernel	核 <br> (on: カク) <br> [sound:k8-0804_核.mp3]
核	[sound:k8-0804_核.mp3] <br> (on: カク) <br> meaning: nucleus, core, kernel
[sound:s8-0804_その学校の偏差値は非常に高い。.mp3]	<b>(偏差値)</b> <br> その学校の偏差値は非常に高い。<br> そのがっこうのへんさちはひじょうにたかい。 <br> The school has a very high deviation value.			
<b>(偏差値)</b> <br> その学校の偏差値は非常に高い。	[sound:s8-0804_その学校の偏差値は非常に高い。.mp3] <br> そのがっこうのへんさちはひじょうにたかい。 <br> The school has a very high deviation value.			
[sound:k8-0805_核.mp3]	核 <br> かく <br> pit (of a fruit), stone; core; nucleus, nuclear; nuclear weaponry
pit (of a fruit), stone; core; nucleus, nuclear; nuclear weaponry	核 <br> かく <br> [sound:k8-0805_核.mp3]
核	[sound:k8-0805_核.mp3] <br> かく <br> pit (of a fruit), stone; core; nucleus, nuclear; nuclear weaponry
[sound:s8-0805_彼らは契約の履行を差し止められた。.mp3]	<b>(差し止め)</b> <br> 彼らは契約の履行を差し止められた。<br> かれらはけいやくのりこうをさしとめられた。 <br> They were prevented from fulfilling the contract.			
<b>(差し止め)</b> <br> 彼らは契約の履行を差し止められた。	[sound:s8-0805_彼らは契約の履行を差し止められた。.mp3] <br> かれらはけいやくのりこうをさしとめられた。 <br> They were prevented from fulfilling the contract.			
[sound:k8-0806_核兵器.mp3]	核兵器 <br> かくへいき <br> nuclear weapons
nuclear weapons	核兵器 <br> かくへいき <br> [sound:k8-0806_核兵器.mp3]
核兵器	[sound:k8-0806_核兵器.mp3] <br> かくへいき <br> nuclear weapons
[sound:s8-0806_彼らは大差で勝利を収めた。.mp3]	<b>(大差)</b> <br> 彼らは大差で勝利を収めた。<br> かれらはたいさでしょうりをおさめた。 <br> They won by a large margin.			
<b>(大差)</b> <br> 彼らは大差で勝利を収めた。	[sound:s8-0806_彼らは大差で勝利を収めた。.mp3] <br> かれらはたいさでしょうりをおさめた。 <br> They won by a large margin.			
[sound:k8-0807_中核.mp3]	中核 <br> ちゅうかく <br> kernel, core, nucleus, resident control program
kernel, core, nucleus, resident control program	中核 <br> ちゅうかく <br> [sound:k8-0807_中核.mp3]
中核	[sound:k8-0807_中核.mp3] <br> ちゅうかく <br> kernel, core, nucleus, resident control program
[sound:s8-0807_次の交差点を右に曲がってください。.mp3]	<b>(交差点)</b> <br> 次の交差点を右に曲がってください。<br> つぎのこうさてんをみぎにまがってください。 <br> Please turn right at the next intersection.			
<b>(交差点)</b> <br> 次の交差点を右に曲がってください。	[sound:s8-0807_次の交差点を右に曲がってください。.mp3] <br> つぎのこうさてんをみぎにまがってください。 <br> Please turn right at the next intersection.			
[sound:k8-0808_核実験.mp3]	核実験 <br> かくじっけん <br> nuclear (bomb) test
nuclear (bomb) test	核実験 <br> かくじっけん <br> [sound:k8-0808_核実験.mp3]
核実験	[sound:k8-0808_核実験.mp3] <br> かくじっけん <br> nuclear (bomb) test
[sound:s8-0808_予算と実際の費用の差額が大きい。.mp3]	<b>(差額)</b> <br> 予算と実際の費用の差額が大きい。<br> よさんとじっさいのひようのさがくがおおきい。 <br> There is a large difference between the budget and the actual cost.			
<b>(差額)</b> <br> 予算と実際の費用の差額が大きい。	[sound:s8-0808_予算と実際の費用の差額が大きい。.mp3] <br> よさんとじっさいのひようのさがくがおおきい。 <br> There is a large difference between the budget and the actual cost.			
[sound:k8-0809_核燃料.mp3]	核燃料 <br> かくねんりょう <br> atomic fuel
atomic fuel	核燃料 <br> かくねんりょう <br> [sound:k8-0809_核燃料.mp3]
核燃料	[sound:k8-0809_核燃料.mp3] <br> かくねんりょう <br> atomic fuel
[sound:s8-0809_その滝の落差は100メートルです。.mp3]	<b>(落差)</b> <br> その滝の落差は100メートルです。<br> そのたきのらくさは100メートルです。 <br> The waterfall has a drop of 100 meters.			
<b>(落差)</b> <br> その滝の落差は100メートルです。	[sound:s8-0809_その滝の落差は100メートルです。.mp3] <br> そのたきのらくさは100メートルです。 <br> The waterfall has a drop of 100 meters.			
[sound:k8-0810_結核.mp3]	結核 <br> けっかく <br> tuberculosis, tubercule
tuberculosis, tubercule	結核 <br> けっかく <br> [sound:k8-0810_結核.mp3]
結核	[sound:k8-0810_結核.mp3] <br> けっかく <br> tuberculosis, tubercule
[sound:s8-0810_彼は大衆の中で目立った。.mp3]	<b>(衆)</b> <br> 彼は大衆の中で目立った。<br> かれはたいしゅうのなかでめだった。 <br> He stood out in the crowd.			
