[sound:k8-3601_育英.mp3]	育英 <br> いくえい <br> education
education	育英 <br> いくえい <br> [sound:k8-3601_育英.mp3]
育英	[sound:k8-3601_育英.mp3] <br> いくえい <br> education
[sound:s8-3601_契約の総額は100万円です。.mp3]	<b>(総額)</b> <br> 契約の総額は100万円です。<br> けいやくのそうがくはひゃくまんえんです。 <br> The total amount of the contract is one million yen.			
<b>(総額)</b> <br> 契約の総額は100万円です。	[sound:s8-3601_契約の総額は100万円です。.mp3] <br> けいやくのそうがくはひゃくまんえんです。 <br> The total amount of the contract is one million yen.			
[sound:k8-3602_英文.mp3]	英文 <br> えいぶん <br> sentence in English, article in English, English text; English literature (study of)
sentence in English, article in English, English text; English literature (study of)	英文 <br> えいぶん <br> [sound:k8-3602_英文.mp3]
英文	[sound:k8-3602_英文.mp3] <br> えいぶん <br> sentence in English, article in English, English text; English literature (study of)
[sound:s8-3602_商品の金額が高すぎる。.mp3]	<b>(金額)</b> <br> 商品の金額が高すぎる。<br> しょうひんのきんがくがたかすぎる。 <br> The price of the product is too high.			
<b>(金額)</b> <br> 商品の金額が高すぎる。	[sound:s8-3602_商品の金額が高すぎる。.mp3] <br> しょうひんのきんがくがたかすぎる。 <br> The price of the product is too high.			
[sound:k8-3603_英字.mp3]	英字 <br> えいじ <br> English letter, alphabetic character
English letter, alphabetic character	英字 <br> えいじ <br> [sound:k8-3603_英字.mp3]
英字	[sound:k8-3603_英字.mp3] <br> えいじ <br> English letter, alphabetic character
[sound:s8-3603_そのプロジェクトには巨額の投資が必要です。.mp3]	<b>(巨額)</b> <br> そのプロジェクトには巨額の投資が必要です。<br> そのぷろじぇくとにはきょがくのとうしをひつようです。 <br> The project requires a huge investment.			
<b>(巨額)</b> <br> そのプロジェクトには巨額の投資が必要です。	[sound:s8-3603_そのプロジェクトには巨額の投資が必要です。.mp3] <br> そのぷろじぇくとにはきょがくのとうしをひつようです。 <br> The project requires a huge investment.			
[sound:k8-3604_英和.mp3]	英和 <br> えいわ <br> English-Japanese (e.g. dictionary)
English-Japanese (e.g. dictionary)	英和 <br> えいわ <br> [sound:k8-3604_英和.mp3]
英和	[sound:k8-3604_英和.mp3] <br> えいわ <br> English-Japanese (e.g. dictionary)
[sound:s8-3604_彼は多額の寄付をした。.mp3]	<b>(多額)</b> <br> 彼は多額の寄付をした。<br> かれはたがくのきふをした。 <br> He made a large donation.			
<b>(多額)</b> <br> 彼は多額の寄付をした。	[sound:s8-3604_彼は多額の寄付をした。.mp3] <br> かれはたがくのきふをした。 <br> He made a large donation.			
[sound:k8-3605_英明.mp3]	英明 <br> えいめい <br> intelligent, wise, bright, brilliant, clear-sighted
intelligent, wise, bright, brilliant, clear-sighted	英明 <br> えいめい <br> [sound:k8-3605_英明.mp3]
英明	[sound:k8-3605_英明.mp3] <br> えいめい <br> intelligent, wise, bright, brilliant, clear-sighted
[sound:s8-3605_彼女は奨学金を全額返済しました。.mp3]	<b>(全額)</b> <br> 彼女は奨学金を全額返済しました。<br> かのじょはしょうがくきんをぜんがくへんさいしました。 <br> She fully repaid the scholarship.			
<b>(全額)</b> <br> 彼女は奨学金を全額返済しました。	[sound:s8-3605_彼女は奨学金を全額返済しました。.mp3] <br> かのじょはしょうがくきんをぜんがくへんさいしました。 <br> She fully repaid the scholarship.			
[sound:k8-3606_英文学.mp3]	英文学 <br> えいぶんがく <br> study of English literature
study of English literature	英文学 <br> えいぶんがく <br> [sound:k8-3606_英文学.mp3]
英文学	[sound:k8-3606_英文学.mp3] <br> えいぶんがく <br> study of English literature
[sound:s8-3606_この紙幣の額面は500円です。.mp3]	<b>(額面)</b> <br> この紙幣の額面は500円です。<br> このしへいのがくめんはごひゃくえんです。 <br> The face value of this banknote is 500 yen.			
<b>(額面)</b> <br> この紙幣の額面は500円です。	[sound:s8-3606_この紙幣の額面は500円です。.mp3] <br> このしへいのがくめんはごひゃくえんです。 <br> The face value of this banknote is 500 yen.			
[sound:k8-3607_英訳.mp3]	英訳 <br> えいやく <br> English translation
English translation	英訳 <br> えいやく <br> [sound:k8-3607_英訳.mp3]
英訳	[sound:k8-3607_英訳.mp3] <br> えいやく <br> English translation
[sound:s8-3607_家賃は月額いくらですか。.mp3]	<b>(月額)</b> <br> 家賃は月額いくらですか。<br> やちんはげつがくいくらですか。 <br> How much is the monthly rent?			
