[sound:k8-5601_会館.mp3]	会館 <br> かいかん <br> meeting hall, assembly hall
meeting hall, assembly hall	会館 <br> かいかん <br> [sound:k8-5601_会館.mp3]
会館	[sound:k8-5601_会館.mp3] <br> かいかん <br> meeting hall, assembly hall
[sound:s8-5601_組織は再編されました。.mp3]	<b>(再編)</b> <br> 組織は再編されました。<br> そしきはさいへんされました。 <br> The organization was restructured.			
<b>(再編)</b> <br> 組織は再編されました。	[sound:s8-5601_組織は再編されました。.mp3] <br> そしきはさいへんされました。 <br> The organization was restructured.			
[sound:k8-5602_大使館.mp3]	大使館 <br> たいしかん <br> embassy
embassy	大使館 <br> たいしかん <br> [sound:k8-5602_大使館.mp3]
大使館	[sound:k8-5602_大使館.mp3] <br> たいしかん <br> embassy
[sound:s8-5602_彼は編集者としてのキャリアを始めた。.mp3]	<b>(編)</b> <br> 彼は編集者としてのキャリアを始めた。<br> かれはへんしゅうしゃとしてのキャリアをはじめた。 <br> He started his career as an editor.			
<b>(編)</b> <br> 彼は編集者としてのキャリアを始めた。	[sound:s8-5602_彼は編集者としてのキャリアを始めた。.mp3] <br> かれはへんしゅうしゃとしてのキャリアをはじめた。 <br> He started his career as an editor.			
[sound:k8-5603_美術館.mp3]	美術館 <br> びじゅつかん <br> art gallery, art museum
art gallery, art museum	美術館 <br> びじゅつかん <br> [sound:k8-5603_美術館.mp3]
美術館	[sound:k8-5603_美術館.mp3] <br> びじゅつかん <br> art gallery, art museum
[sound:s8-5603_彼は新聞社の編集者です。.mp3]	<b>(編集者)</b> <br> 彼は新聞社の編集者です。<br> かれはしんぶんしゃのへんしゅうしゃです。 <br> He is an editor at a newspaper company.			
<b>(編集者)</b> <br> 彼は新聞社の編集者です。	[sound:s8-5603_彼は新聞社の編集者です。.mp3] <br> かれはしんぶんしゃのへんしゅうしゃです。 <br> He is an editor at a newspaper company.			
[sound:k8-5604_博物館.mp3]	博物館 <br> はくぶつかん <br> museum
museum	博物館 <br> はくぶつかん <br> [sound:k8-5604_博物館.mp3]
博物館	[sound:k8-5604_博物館.mp3] <br> はくぶつかん <br> museum
[sound:s8-5604_彼は短編小説を書いています。.mp3]	<b>(短編)</b> <br> 彼は短編小説を書いています。<br> かれはたんぺんしょうせつをかいています。 <br> He is writing a short story.			
