[sound:s8-0001_早く起きた。.mp3]	<b>(早)</b> <br> 早く起きた。<br> はやくおきた。 <br> I woke up early.			
[sound:s8-0002_早期に対策を立てる必要があります。.mp3]	<b>(早期)</b> <br> 早期に対策を立てる必要があります。<br> そうきにたいさくをたてるひつようがあります。 <br> We need to make plans early.			
[sound:s8-0003_早く帰りましょう。.mp3]	<b>(早)</b> <br> 早く帰りましょう。<br> はやくかえりましょう。 <br> Let's go home early.			
[sound:s8-0004_早急に対処する必要があります。.mp3]	<b>(早急)</b> <br> 早急に対処する必要があります。<br> さっきゅうにたいしょするひつようがあります。 <br> It is necessary to deal with it promptly.			
[sound:s8-0005_早朝にジョギングをするのが好きです。.mp3]	<b>(早朝)</b> <br> 早朝にジョギングをするのが好きです。<br> そうちょうにじょぎんぐをするのがすきです。 <br> I like jogging in the early morning.			
[sound:s8-0006_予定を早めましょう。.mp3]	<b>(早める)</b> <br> 予定を早めましょう。<br> よていをはやめましょう。 <br> Let's move up the schedule.			
[sound:s8-0007_早々に来てくれてありがとう。.mp3]	<b>(早々)</b> <br> 早々に来てくれてありがとう。<br> そうそうにきてくれてありがとう。 <br> Thank you for coming so early.			
[sound:s8-0008_彼は早い段階で成功を収めた。.mp3]	<b>(早い)</b> <br> 彼は早い段階で成功を収めた。<br> かれははやいだんかいでせいこうをおさめた。 <br> He achieved success at an early stage.			
[sound:s8-0009_その提案は時期尚早だと思います。.mp3]	<b>(時期尚早)</b> <br> その提案は時期尚早だと思います。<br> そのていあんはじきしょうそうだとおもいます。 <br> I think that proposal is premature.			
[sound:s8-0010_彼女は素早く問題を解決しました。.mp3]	<b>(素早く)</b> <br> 彼女は素早く問題を解決しました。<br> かのじょはすばやくもんだいをかいけつしました。 <br> She solved the problem quickly.			
[sound:s8-0011_彼女は早乙女のような美しさを持っています。.mp3]	<b>(早乙女)</b> <br> 彼女は早乙女のような美しさを持っています。<br> かのじょはさおとめのようなうつくしさをもっています。 <br> She has the beauty like that of an early blooming maiden.			
[sound:s8-0012_この張り子はとても美しい。.mp3]	<b>(張)</b> <br> この張り子はとても美しい。<br> このはりこはとてもうつくしい。 <br> This papier-mâché is very beautiful.			
[sound:s8-0013_彼は自分の主張をはっきり述べた。.mp3]	<b>(主張)</b> <br> 彼は自分の主張をはっきり述べた。<br> かれはじぶんのしゅちょうをはっきりのべた。 <br> He clearly stated his opinion.			
[sound:s8-0014_試験前はいつも緊張します。.mp3]	<b>(緊張)</b> <br> 試験前はいつも緊張します。<br> しけんまえはいつもきんちょうします。 <br> I always get nervous before exams.			
[sound:s8-0015_その張り巡らされた空気が緊張を高めた。.mp3]	<b>(張り)</b> <br> その張り巡らされた空気が緊張を高めた。<br> そのはりめぐらされたくうきがきんちょうをたかめた。 <br> The tension in the air heightened.			
[sound:s8-0016_頑張ってください！.mp3]	<b>(頑張って)</b> <br> 頑張ってください！	がんばってください！ <br> Good luck! <br> 		
[sound:s8-0017_彼は出張で外国に行きます。.mp3]	<b>(出張)</b> <br> 彼は出張で外国に行きます。<br> かれはしゅっちょうでがいこくにいきます。 <br> He's going abroad on a business trip.			
[sound:s8-0018_彼は顔に笑みを張った。.mp3]	<b>(張る)</b> <br> 彼は顔に笑みを張った。<br> かれはかおにえみをはった。 <br> He put a smile on his face.			
[sound:s8-0019_この道路は拡張される予定です。.mp3]	<b>(拡張)</b> <br> この道路は拡張される予定です。<br> このどうろはかくちょうされるよていです。 <br> This road is scheduled for expansion.			
